Index,Software Name,Software Version,Software Category
epacts,EPACTS,3.4.2,Computational Chemistry
eukdetect,eukdetect,1.2,Computational Chemistry
exomiser,exomiser,13.0.1,Computational Chemistry
express,express,1.5.1,Computational Chemistry
fanc,fanc,0.9.21,Computational Chemistry
fastqc,fastqc,0.11.9,Computational Chemistry
fastqtools,fastqtools,0.8.3,Computational Chemistry
fastq_screen,fastq_screen,0.15.3,Computational Chemistry
fastxtoolkit,fastxtoolkit,0.0.14,Computational Chemistry
fcs,fcs,0.4.0,Computational Chemistry
fgbio,fgbio,2.0.2,Computational Chemistry
fithic,fithic,2.0.8,Computational Chemistry
flanker,flanker,0.1.5,Computational Chemistry
flashpca,flashpca,2.0,Computational Chemistry
flexbar,Flexbar,3.5.0,Computational Chemistry
flye,flye,2.9.1,Computational Chemistry
fqtools,fqtools,2.0,Computational Chemistry
freebayes,freebayes,1.3.5,Computational Chemistry
freec,freec,11.6,Computational Chemistry
fuseq-wes,fuseq-wes,1.0.0,Computational Chemistry
fusioncatcher,fusioncatcher,1.33,Computational Chemistry
gatk,GATK,4.3.0.0,Computational Chemistry
gem,gem,3.4,Computational Chemistry
gemini,Gemini,0.30.2,Computational Chemistry
gemma,GEMMA,0.98.5,Computational Chemistry
genome browser,Genome Browser,451,Computational Chemistry
genrich,genrich,0.6,Computational Chemistry
geomx ngs pipeline,GeoMX NGS Pipeline,2.3.3.10,Computational Chemistry
gistic,Gistic,2.0.23,Computational Chemistry
gmap-gsnap,gmap-gsnap,2021-12-17,Computational Chemistry
gopeaks,gopeaks,1.0.0,Computational Chemistry
graphaligner,graphaligner,1.0.17b,Computational Chemistry
gridss,gridss,2.13.2,Computational Chemistry
gtex_rnaseq,gtex_rnaseq,V10,Computational Chemistry
gtool,gtool,0.7.5,Computational Chemistry
gunc,gunc,1.0.5,Computational Chemistry
guppy,guppy,6.5.7,Computational Chemistry
hail,Hail,0.2.99,Computational Chemistry
hap.py,hap.py,0.3.14,Computational Chemistry
hicexplorer,hicexplorer,3.7.2,Computational Chemistry
hichipper,hichipper,0.7.7,Computational Chemistry
hicpro,hicpro,3.1.0,Computational Chemistry
hic_breakfinder,hic_breakfinder,1.0,Computational Chemistry
hifiasm,hifiasm,0.19.5,Computational Chemistry
hint,hint,2.2.7,Computational Chemistry
hipstr,hipstr,0.7,Computational Chemistry
hisat,hisat,2.2.2.1-ngs3.0.1,Computational Chemistry
hla-la,HLA-LA,1.0.3,Computational Chemistry
hmmratac,HMMRATAC,1.2.10,Computational Chemistry
homer,homer,4.11.1,Computational Chemistry
htgts,htgts,2,Computational Chemistry
htsbox,htsbox,r346,Computational Chemistry
htseq,htseq,2.0.4,Computational Chemistry
humann,humann,3.6.0,Computational Chemistry
idba,IDBA,1.1.3,Computational Chemistry
idiffir,iDiffIR,20220121,Computational Chemistry
idr,IDR,2.0.3,Computational Chemistry
igv,IGV,2.12.3,Computational Chemistry
igvtools,IGVTools,2.12.3,Computational Chemistry
impute,IMPUTE,2.3.2,Computational Chemistry
intervar,InterVar,"2.1.2, 2.1.3",Computational Chemistry
intervene,intervene,0.6.5,Computational Chemistry
iva,iva,1.0.11,Computational Chemistry
ivar,iVar,1.3.1,Computational Chemistry
juicer,Juicer,1.6,Computational Chemistry
jvarkit,jvarkit,20211013,Computational Chemistry
kat,KAT,2.4.2,Computational Chemistry
kb-python,kb-python,0.27.3,Computational Chemistry
kmc,KMC,3.1.0,Computational Chemistry
kmergo2,KmerGO2,2.0.1,Computational Chemistry
kneaddata,kneaddata,0.11.0,Computational Chemistry
kraken,kraken,2.1.2,Computational Chemistry
lefse,lefse,1.0.8,Computational Chemistry
lja,LJA,0.1,Computational Chemistry
locuszoom,locuszoom,1.3,Computational Chemistry
lofreq,lofreq,2.1.5,Computational Chemistry
lordec,lordec,141,Computational Chemistry
lumpy,lumpy,0.3.1,Computational Chemistry
mach2qtl,mach2qtl,1.1.3,Computational Chemistry
macs,macs,3,Computational Chemistry
mafft,mafft,7.475,Computational Chemistry
mageck,MAGeCK,0.5.9.2,Computational Chemistry
mageck-vispr,mageck-vispr,0.5.6,Computational Chemistry
magicblast,magicblast,1.7.0,Computational Chemistry
majiq,MAJIQ,2.4,Computational Chemistry
manorm,manorm,1.1.4,Computational Chemistry
manta,manta,1.6.0-fork-jykr,Computational Chemistry
maps,maps,1.1.0,Computational Chemistry
mash,mash,2.3,Computational Chemistry
mbg,mbg,1.0.15,Computational Chemistry
medaka,medaka,1.10.0,Computational Chemistry
medusa,medusa,1.6,Computational Chemistry
megadepth,megadepth,1.2.0,Computational Chemistry
megahit,MEGAHIT,1.2.9,Computational Chemistry
megalodon,megalodon,2.5.0,Computational Chemistry
megan,MEGAN,6.24.11,Computational Chemistry
merfin,merfin,1.1,Computational Chemistry
merqury,merqury,1.3,Computational Chemistry
meryl,Meryl,0.0,Computational Chemistry
metabat,metabat,2.15,Computational Chemistry
metal,metal,2020-05-05,Computational Chemistry
metaphlan,metaphlan,4.0.3,Computational Chemistry
miniasm,miniasm,0.3.r179,Computational Chemistry
minimac,minimac,4 (1.0.1,Computational Chemistry
minimap2,minimap2,2.26,Computational Chemistry
mirdeep2,mirdeep2,0.1.3,Computational Chemistry
misopy,misopy,0.5.4,Computational Chemistry
mitosuite,mitosuite,1.0.9b,Computational Chemistry
mixcr,mixcr,4.3.2,Computational Chemistry
mixer,mixer,1.3,Computational Chemistry
modbamtools,modbamtools,0.4.8,Computational Chemistry
modkit,modkit,0.1.11,Computational Chemistry
modphred,modphred,1.0c,Computational Chemistry
mosaicforecast,mosaicforecast,0.0.1,Computational Chemistry
mosdepth,mosdepth,0.3.3,Computational Chemistry
mtoolbox,mtoolbox,1.2.1,Computational Chemistry
multiqc,multiqc,1.14,Computational Chemistry
muse,MuSE,2.0.1,Computational Chemistry
mutect,muTect,1.1.7,Computational Chemistry
mutsig,MutSig,1.41,Computational Chemistry
nanopolish,nanopolish,0.14.0,Computational Chemistry
neusomatic,neusomatic,0.2.1,Computational Chemistry
ngmlr,NGMLR,0.2.7,Computational Chemistry
ngsplot,ngsplot,2.63,Computational Chemistry
novocraft,novocraft,4.03.08,Computational Chemistry
octopus,Octopus,0.7.4,Computational Chemistry
ont-fast5-api,ont-fast5-api,4.1.0,Computational Chemistry
pairtools,pairtools,0.3.0; 1.0.2,Computational Chemistry
panaroo,panaroo,1.3.3,Computational Chemistry
parabricks,parabricks,4.0.0,Computational Chemistry
partekflow,PartekFlow,10.0.23.0720,Computational Chemistry
pb-cpg-tools,pb-cpg-tools,2.3.1,Computational Chemistry
pbipa,pbipa,1.8.0,Computational Chemistry
pbsuite,pbsuite,15.8.24,Computational Chemistry
pear,pear,0.9.11,Computational Chemistry
peddy,peddy,0.4.8,Computational Chemistry
penncnv,PennCNV,1.0.5,Computational Chemistry
pepatac,PEPATAC,0.10.3,Computational Chemistry
picard,picard,3.1.0,Computational Chemistry
picrust,picrust,2.5.2,Computational Chemistry
pindel,pindel,0.2.5,Computational Chemistry
platypus,Platypus,0.8.1,Computational Chemistry
plink,plink,3.6-alpha,Computational Chemistry
pod5,pod5,0.5.0,Computational Chemistry
pomoxis,pomoxis,0.3.10,Computational Chemistry
porechop,porechop,0.2.4,Computational Chemistry
poretools,poretools,0.6.1a1,Computational Chemistry
preseq,preseq,3.1.2,Computational Chemistry
prinseq,PRINSEQ,0.20.4,Computational Chemistry
proseq,proseq,2.0,Computational Chemistry
pvactools,pvactools,4.0.1,Computational Chemistry
pychopper,pychopper,2.7.1,Computational Chemistry
pyclone,pyclone,0.13.1,Computational Chemistry
pycoqc,pycoQC,2.5.2,Computational Chemistry
pyega3,pyega3,5.0.2,Computational Chemistry
qctool,qctool,2.2,Computational Chemistry
qualimap,qualimap,2.2.1,Computational Chemistry
quast,quast,5.2.0,Computational Chemistry
racon,racon,1.4.3,Computational Chemistry
ragtag,ragtag,2.1.0,Computational Chemistry
raremetal,raremetal,4.15.1,Computational Chemistry
rcorrector,Rcorrector,1.0.5,Computational Chemistry
regtools,regtools,1.0.0,Computational Chemistry
repeatmasker,RepeatMasker,4.1.5,Computational Chemistry
repeatmodeler,repeatmodeler,2.0.1,Computational Chemistry
reviewer,REViewer,0.2.7,Computational Chemistry
rgt,rgt,0.13.2,Computational Chemistry
rilseq,rilseq,0.82,Computational Chemistry
rnaseqc,rnaseqc,2.4.2,Computational Chemistry
rockhopper,rockhopper,2.0.3,Computational Chemistry
rose,ROSE,1.3.1,Computational Chemistry
rsd,RSD,1.1.7,Computational Chemistry
rsem,rsem,1.3.3,Computational Chemistry
rseqc,rseqc,5.0.3,Computational Chemistry
rtg-tools,rtg-tools,3.8.4,Computational Chemistry
rvtests,rvtests,2.1.0,Computational Chemistry
sailfish,sailfish,0.10.0,Computational Chemistry
salmon,salmon,1.10.0,Computational Chemistry
salmonte,SalmonTE,0.4,Computational Chemistry
sambamba,sambamba,0.8.2,Computational Chemistry
samblaster,samblaster,0.1.26,Computational Chemistry
samtools,samtools,1.17,Computational Chemistry
scallop,scallop,0.10.5,Computational Chemistry
scalpel,scalpel,0.5.4,Computational Chemistry
scanpy,scanpy,1.8.1,Computational Chemistry
schicexplorer,schicexplorer,7,Computational Chemistry
scramble,Scramble,1.0.2,Computational Chemistry
seqan,seqan,2.4.0,Computational Chemistry
seqkit,seqkit,2.2.0,Computational Chemistry
seqtk,seqtk,1.4,Computational Chemistry
sequenza-utils,sequenza-utils,3.0.0,Computational Chemistry
shapeit,shapeit,5.1.0,Computational Chemistry
shasta,shasta,0.11.1,Computational Chemistry
shmlast,shmlast,1.6,Computational Chemistry
shrimp,shrimp,2_2_3,Computational Chemistry
sicer,sicer,2-1.0.3,Computational Chemistry
sickle,sickle,1.33,Computational Chemistry
sift,SIFT,6.2.1,Computational Chemistry
slamdunk,slamdunk,0.4.3,Computational Chemistry
smrtanalysis,smrtanalysis,12.0.0.177059,Computational Chemistry
sniffles,sniffles,2.2,Computational Chemistry
snippy,snippy,4.6.0,Computational Chemistry
snp2hla,snp2hla,1.0.3,Computational Chemistry
snpeff,snpEff,5.1d,Computational Chemistry
snptest,snptest,2.5.6,Computational Chemistry
somaticsniper,somaticsniper,1.0.5.0,Computational Chemistry
sortmerna,sortmeRNA,4.3.6,Computational Chemistry
spaceranger,spaceranger,2.1.1,Computational Chemistry
spades,spades,3.15.5,Computational Chemistry
speedseq,speedseq,0.1.2-20180208-4e60002,Computational Chemistry
sratoolkit,sratoolkit,3.0.2,Computational Chemistry
srst2,SRST2,0.2.0,Computational Chemistry
stampy,stampy,1.0.32,Computational Chemistry
star,STAR,2.7.10b,Computational Chemistry
star-fusion,STAR-Fusion,1.12.0,Computational Chemistry
stream,STREAM,20180816,Computational Chemistry
strelka,strelka,2.9.10,Computational Chemistry
stringtie,stringtie,2.2.1,Computational Chemistry
subread,subread,2.0.3,Computational Chemistry
suppa,suppa,2.3,Computational Chemistry
survivor,SURVIVOR,1.0.7,Computational Chemistry
svanna,svanna,1.0.3,Computational Chemistry
svtyper,svtyper,0.7.1,Computational Chemistry
svviz,svviz,1.6.2,Computational Chemistry
talon,talon,6.0,Computational Chemistry
taxonkit,taxonkit,0.12.0,Computational Chemistry
telescope,telescope,6cd5525,Computational Chemistry
telseq,telseq,0.0.2,Computational Chemistry
tetoolkit,tetoolkit,2.2.1,Computational Chemistry
theta,THetA,0.7-20-g94fd772,Computational Chemistry
tombo,tombo,1.5.1,Computational Chemistry
tophat,tophat,2.1.2,Computational Chemistry
tpmcalculator,TPMCalculator,0.0.4,Computational Chemistry
transcript_clean,transcript_clean,2.0.3,Computational Chemistry
transdecoder,TransDecoder,5.5.0,Computational Chemistry
transvar,transvar,2.5.9,Computational Chemistry
trimal,trimAl,1.2rev59,Computational Chemistry
trimgalore,trimgalore,0.6.7,Computational Chemistry
trimmomatic,trimmomatic,0.39,Computational Chemistry
trinity,trinity,2.15.1,Computational Chemistry
trnascan-se,tRNAscan-SE,2.0.9,Computational Chemistry
ultraplex,ultraplex,1.2.5,Computational Chemistry
umitools,umitools,1.1.2,Computational Chemistry
vcf2maf,vcf2maf,1.6.21,Computational Chemistry
vcfanno,vcfanno,0.3.3,Computational Chemistry
vcflib,vcflib,1.0.3,Computational Chemistry
vcftools,vcftools,0.1.16,Computational Chemistry
vep,VEP,110,Computational Chemistry
verifybamid,verifybamid,2.0.1,Computational Chemistry
verkko,verkko,1.4.1,Computational Chemistry
virsorter2,VirSorter2,2.2.3,Computational Chemistry
virtus,VIRTUS,2.0.1,Computational Chemistry
vsearch,vsearch,2.22.1,Computational Chemistry
vt,vt,0.57721,Computational Chemistry
winnowmap,winnowmap,2.03,Computational Chemistry
xhla,xHLA,2018-04-04,Computational Chemistry
xhmm,XHMM,2016-01-04,Computational Chemistry
yak,yak,r69,Computational Chemistry
3dslicer,3DSlicer,5.2.2,Computational Chemistry
afni,AFNI,current-py3,Computational Chemistry
ants,ANTs,2.4.2,Computational Chemistry
aretomo,AreTomo,1.3.4,Computational Chemistry
b-soid,B-SOID,1.3,Computational Chemistry
baracus,baracus,1.1.4,Computational Chemistry
brkraw,BrkRaw,0.3.6,Computational Chemistry
bsoft,Bsoft,1.9.0,Computational Chemistry
c3d,c3d,1.1.0,Computational Chemistry
cellpose,cellpose,2.1.1,Computational Chemistry
cistem,cisTEM,1.0.0-beta,Computational Chemistry
civet,civet,2.1.1,Computational Chemistry
cmtk,cmtk,3.3.2,Computational Chemistry
compucell3d,CompuCell3D,4.4.0,Computational Chemistry
connectome-workbench,connectome-workbench,1.5.0,Computational Chemistry
coolbox,coolbox,0.3.8,Computational Chemistry
cryosparc,cryosparc,4.2.1,Computational Chemistry
ctf,CTF,6.1,Computational Chemistry
ctffind,ctffind,4.1.14,Computational Chemistry
dcm2niix,dcm2niix,1.0.20211006,Computational Chemistry
deepcad,DeepCAD,20210826,Computational Chemistry
deeplabcut,DeepLabCut,2.3.4,Computational Chemistry
deepmedic,deepmedic,0.8.4,Computational Chemistry
dmriprep,dmriprep,0.5.0,Computational Chemistry
dynamo,dynamo,1.1.532,Computational Chemistry
elastix,elastix,4.9; 5.1.0,Computational Chemistry
eman2,EMAN2,2.99,Computational Chemistry
fastsurfer,fastsurfer,1.1.1,Computational Chemistry
fiji,Fiji,1.52f,Computational Chemistry
fitlins,fitlins,0.9.1,Computational Chemistry
fmriprep,fmriprep,23.1.4,Computational Chemistry
frealign,Frealign,9.11_151031,Computational Chemistry
freesurfer,Freesurfer,7.4.1,Computational Chemistry
fsl,FSL,6.0.6,Computational Chemistry
gctf,Gctf,1.06,Computational Chemistry
huygens,Huygens,23.04.0-p6,Computational Chemistry
imaris,Imaris,9.7,Computational Chemistry
imod,IMOD,4.12.25,Computational Chemistry
isonet,IsoNet,0.2.1,Computational Chemistry
itk-snap,ITK-SNAP,3.8.0,Computational Chemistry
itk-snap-bs,ITK-SNAP-BS,20131007,Computational Chemistry
laynii,laynii,2.4.0,Computational Chemistry
magetbrain,magetbrain,1.0,Computational Chemistry
mango,mango,4.1,Computational Chemistry
minc-toolkit,minc-toolkit,1.9.18,Computational Chemistry
mipav,MIPAV,11.0.3,Computational Chemistry
monailabel,MONAILabel,0.3.2; 0.4.2,Computational Chemistry
motioncor2,MotionCor2,1.5.0,Computational Chemistry
mricron,mricron,1.0.20190902,Computational Chemistry
mriqc,mriqc,23.1.0,Computational Chemistry
mrtrix,mrtrix,3.0.4,Computational Chemistry
mrtrix3tissue,mrtrix3tissue,5.2.9,Computational Chemistry
napari,napari,0.4.18,Computational Chemistry
nibabies,nibabies,22.0.2,Computational Chemistry
openslide,OpenSlide,3.4.1,Computational Chemistry
peet,PEET,1.15.0,Computational Chemistry
petprep_hmc,petprep_hmc,0.06,Computational Chemistry
plastimatch,plastimatch,1.9.3,Computational Chemistry
pytom,PyTom,1.0,Computational Chemistry
qsiprep,qsiprep,0.16.1,Computational Chemistry
qupath,QuPath,0.4.1,Computational Chemistry
relion,RELION,4.0.1,Computational Chemistry
resmap,ResMap,1.9,Computational Chemistry
samsrcv3,SAMsrcV3,20180713-c5e1042,Computational Chemistry
simnibs,SimNIBS,4.0,Computational Chemistry
smriprep,smriprep,0.8.3,Computational Chemistry
sphire,SPHIRE,1.4,Computational Chemistry
spm12,spm12,7870,Computational Chemistry
tedana,tedana,23.0.1,Computational Chemistry
tomotwin,tomotwin,0.5.0,Computational Chemistry
topaz,topaz,0.2.5-ba91e19,Computational Chemistry
tortoise,TORTOISE,3.2.0,Computational Chemistry
tractseg,tractseg,1.7.1,Computational Chemistry
xcpengine,xcpengine,1.2.4,Computational Chemistry
xcp_d,xcp_d,0.5.0,Computational Chemistry
admixtools,AdmixTools,7.0.2,Computational Chemistry
admixture,admixture,1.3.0,Computational Chemistry
arcashla,arcashla,0.5.0,Computational Chemistry
beagle,Beagle,5.4_22Jul22,Computational Chemistry
beagle-lib,beagle-lib,4.0,Computational Chemistry
beast,BEAST,"1.10.4,2.6.2",Computational Chemistry
biobakery_workflows,biobakery_workflows,3.1,Computational Chemistry
cd-hit,CD-HIT,4.6.8,Computational Chemistry
eigensoft,eigensoft,8.0.0,Computational Chemistry
fastqtl,FastQTL,2.184,Computational Chemistry
fasttree,FastTree,2.1.11,Computational Chemistry
gcta,GCTA,1.94.0beta0,Computational Chemistry
gtdb-tk,gtdb-tk,2.3.2,Computational Chemistry
gubbins,gubbins,2.3.4,Computational Chemistry
hyphy,hyphy,2.5.29,Computational Chemistry
iqtree,iqtree,2.2.0.5,Computational Chemistry
king,king,2.2.7,Computational Chemistry
ltsoft,LTSOFT,4.0,Computational Chemistry
madeline2,Madeline2,2.0,Computational Chemistry
mega,MEGA,11.0.10,Computational Chemistry
mega2,mega2,6.0.0,Computational Chemistry
merlin,merlin,1.1.2,Computational Chemistry
mothur,mothur,1.48.0,Computational Chemistry
mrbayes,MrBayes,3.2.7,Computational Chemistry
ohana,ohana,current,Computational Chemistry
phase,phase,2.1.1,Computational Chemistry
phylip,Phylip,3.698,Computational Chemistry
pplacer,pplacer,1.1,Computational Chemistry
primus,PRIMUS,1.9.0,Computational Chemistry
prsice,PRSice,2.3.3,Computational Chemistry
qiime,QIIME,2023.5,Computational Chemistry
raxml,RAxML,8.2.12,Computational Chemistry
raxml-ng,raxml-ng,1.2.0,Computational Chemistry
revbayes,RevBayes,1.2.1,Computational Chemistry
scdrs,scDRS,1.02,Computational Chemistry
shapeit,shapeit,5.1.0,Computational Chemistry
smr,SMR,0.702; 1.03; 1.3.1,Computational Chemistry
solar,solar,9.0.1,Computational Chemistry
sumtrees,sumtrees,4.5.2,Computational Chemistry
tensorqtl,TensorQTL,1.0.7,Computational Chemistry
treemix,treemix,1.13,Computational Chemistry
treetime,treetime,0.11.1,Computational Chemistry
b-soid,B-SOID,1.3,Deep Learning
biobert,BioBERT,v20200409,Deep Learning
biogans,BioGANs,20210916,Deep Learning
cryodrgn,cryoDRGN,1.1.0,Deep Learning
cudnn,cuDNN,8.0.3,Deep Learning
danq,DanQ,20220825,Deep Learning
deepcadrt,deepcadrt,0.1.0,Deep Learning
deepcell-tf,DeepCell-tf,0.12.6,Deep Learning
deepemhancer,DeepEmhancer,0.15,Deep Learning
deeplabcut,DeepLabCut,2.3.4,Deep Learning
deepmedic,deepmedic,0.8.4,Deep Learning
deepmm,DeepMM,20220830,Deep Learning
gcn_cancer,GCN_Cancer,20221105,Deep Learning
isonet,IsoNet,0.2.1,Deep Learning
keras,keras,2.4.3; 2.9.1,Deep Learning
pytom,PyTom,1.0,Deep Learning
release,ReLeaSE,20220825,Deep Learning
rfdiffusion,RFdiffusion,1.1.0,Deep Learning
spliceai,SpliceAI,1.3.1,Deep Learning
talos,talos,1.0,Deep Learning
tensorqtl,TensorQTL,1.0.7,Deep Learning
tybalt,Tybalt,202208265,Deep Learning
unet,UNet,20220825,Deep Learning
abyss,abyss,2.3.5,Deep Learning
afterqc,AfterQC,0.9.7,Deep Learning
angsd,angsd,0.940,Deep Learning
annotsv,AnnotSV,3.3.1,Deep Learning
annovar,ANNOVAR,2020-06-08,Deep Learning
ascatngs,ascatNgs,4.5.0,Deep Learning
augustus,augustus,3.4.0,Deep Learning
autoreject,autoreject,0.3.1,Deep Learning
bam2fastq,bam2fastq,1.1.0,Deep Learning
bamliquidator,bamliquidator,1.5.2,Deep Learning
bamreadcount,bamreadcount,cram-v0.0.1,Deep Learning
bamtools,bamtools,2.5.2,Deep Learning
bamutil,bamUtil,1.0.15,Deep Learning
bartender,Bartender,1.1,Deep Learning
basespace_cli,basespace_cli,1.5.2,Deep Learning
bazam,bazam,1.0.1,Deep Learning
bbtools,bbtools,38.96,Deep Learning
bcl-convert,bcl-convert,4.1.5,Deep Learning
bcl2fastq,bcl2fastq,2.20,Deep Learning
bedops,bedops,2.4.41,Deep Learning
bedtools,bedtools,2.30.0,Deep Learning
beta,BETA,1.0.7,Deep Learning
bigscale2,bigSCale2,20191119,Deep Learning
bioawk,bioawk,1.0,Deep Learning
biobakery_workflows,biobakery_workflows,3.1,Deep Learning
biobambam2,biobambam2,2.0.185-release-20221211202123,Deep Learning
biom-format,biom-format,2.1.12,Deep Learning
bismark,bismark,0.23.1,Deep Learning
bonito,bonito,0.7.2,Deep Learning
bowtie,bowtie,1.3.1,Deep Learning
bowtie2,bowtie2,2.5.1,Deep Learning
brass,BRASS,6.3.4,Deep Learning
breakdancer,breakdancer,1.4.5,Deep Learning
breseq,breseq,0.37.1,Deep Learning
bsmap,bsmap,2.90,Deep Learning
busco,busco,5.4.7,Deep Learning
